employee_id,age,monthly_income,years_at_company,distance_from_home,job_satisfaction,overtime,department,education,attrition
E0001,29,6027,0,18,2,Yes,Operations,Master,Yes
E0002,23,5455,2,14,2,No,Sales,Bachelor,No
E0003,56,10386,13,15,4,No,Operations,High School,No
E0004,31,6119,6,22,1,Yes,Sales,Master,Yes
E0005,24,6440,3,8,4,Yes,Research,Bachelor,No
E0006,26,5375,1,15,3,No,Operations,Master,No
E0007,51,11287,20,24,2,No,Sales,Bachelor,No
E0008,32,7328,11,16,2,No,Sales,Master,No
E0009,36,8480,15,21,1,Yes,Sales,Bachelor,No
E0010,42,8075,6,32,4,No,Human Resources,High School,Yes
E0011,57,11645,17,17,4,No,Research,Bachelor,No
E0012,25,6155,3,10,2,No,Research,High School,No
E0013,51,,16,17,1,No,Sales,Master,No
E0014,40,7700,13,11,4,Yes,Operations,Master,No
E0015,33,7878,12,7,3,No,Research,Bachelor,No
E0016,55,8744,0,21,4,Yes,Finance,Master,No
E0017,41,7908,7,4,2,No,Finance,High School,No
E0018,30,6487,4,31,2,Yes,Operations,Bachelor,Yes
E0019,56,11590,22,13,3,No,Human Resources,Bachelor,No
E0020,26,5933,5,2,2,No,Sales,Master,Yes
E0021,26,4941,1,22,1,No,Sales,Bachelor,No
E0022,58,10406,15,16,4,No,Sales,High School,No
E0023,49,9257,13,30,1,No,Finance,High School,No
E0024,37,7716,6,13,4,Yes,Sales,Bachelor,No
E0025,26,7245,5,7,1,No,Research,High School,No
E0026,48,10291,15,31,2,No,Finance,High School,Yes
E0027,46,7932,8,30,3,No,Finance,Doctor,Yes
E0028,40,7445,6,4,1,No,Sales,Bachelor,No
E0029,55,9366,5,4,1,No,Sales,High School,No
E0030,58,9416,7,3,1,No,Research,Bachelor,No
E0031,35,7141,14,21,2,Yes,Sales,Bachelor,No
E0032,22,5937,1,7,1,No,,High School,No
E0033,26,5047,5,24,3,Yes,Operations,Master,No
E0034,22,4378,1,20,1,No,Sales,High School,Yes
E0035,57,8764,4,18,3,No,Operations,Bachelor,No
E0036,25,5730,2,28,3,Yes,Research,High School,No
E0037,32,7853,11,28,1,Yes,Finance,Master,Yes
E0038,57,9448,4,28,2,Yes,Research,Master,No
E0039,24,7060,3,14,2,No,Research,Bachelor,No
E0040,37,6270,5,12,4,Yes,Operations,Bachelor,No
E0041,37,8067,8,11,1,No,Sales,Bachelor,No
E0042,36,8586,7,2,2,No,Sales,High School,No
E0043,44,10508,20,26,3,No,Sales,Doctor,No
E0044,28,8170,7,28,3,No,Research,Bachelor,No
E0045,46,,18,13,3,Yes,Research,Bachelor,No
